"","GEOID","P1_HBI","P1_PPI","P1_Delinquency_rate","P1_Cutoff_rate","P1_CAP","P1_Efficiency_Program","P1_Complaints_per_1000conn","P1_Complaint_Resolution","P1_Grade_HBI","P1_Grade_Affordability","P1_Grade_Affordability_alt","P1_Grade_Delinquency","P1_Grade_Cutoff","P1_Grade_CAP","P1_Grade_Efficiency","P1_Grade_Complaints_per1000conn","P1_Grade_Complaint_Resolution","P2_Staff_Share_Ratio","P2_Grade_Staff_Share","P3_Meetings","P3_Grade_Meetings","P3_Breaks_100mi","P3_SSO_100mi","P3_Lead_Lines_Percent","P3_Lead_Lines_Replaced_Percent","P3_Network_Renewal","P3_Maintenance_Hrs_100mi","P3_Grade_Breaks","P3_Grade_SSO","P3_Grade_Lead","P3_Grade_Lead_Replace","P3_Grade_Network_Renewal","P3_Grade_Maintenance"
"1","17043846206",2.01711373683225,13.351686166552,8.28385610368647,2.67221164635047,12.9515027698031,2.99749065024107,0.735165825847905,91.8021989910175,"1. Good - <7%","1. Good","2. Fair","2. Fair - 2.5-14%","2. Fair - 1-10%","2. Fair - 10-25%","2. Fair - 1-5% ","1. Good - <1.5 ","2. Fair - 91-97%",0.512477707006369,"1. Good - >0.5",0,"3. Poor - 0",0,0,0,NA,0.25920160766691,1185.80406923639,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"3. Poor - <0.5%","2. Fair - 650-1800"
"2","17197880309",0.916586936869955,3.09779307552136,2.53801125035397,0.818713306565798,15.9636608956483,3.99111970998369,4.82210726132696,96.7065287135923,"1. Good - <7%","1. Good","1. Good","2. Fair - 2.5-14%","1. Good - <1%","2. Fair - 10-25%","2. Fair - 1-5% ","2. Fair - 1.5-6.5","2. Fair - 91-97%",0.378808851224105,"2. Fair - 0.25-0.5",0,"3. Poor - 0",0,0,0,NA,2.98819010797888,1130.43655716934,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"3","17043841607",1.63498991883128,19.6973069218785,11.3636359195658,3.66568900631155,11.8793732237615,1.91525040305091,3.89538990569247,95.594467886831,"1. Good - <7%","1. Good","2. Fair","2. Fair - 2.5-14%","2. Fair - 1-10%","2. Fair - 10-25%","2. Fair - 1-5% ","2. Fair - 1.5-6.5","2. Fair - 91-97%",0.160885822835433,"3. Poor - <0.25",0,"3. Poor - 0",0,0,0,NA,0.489472480723634,1029.65048176678,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"3. Poor - <0.5%","2. Fair - 650-1800"
"4","17043846522",1.26970428604705,9.4795993159052,4.18751198821419,1.35081031877877,8.14471444668811,6.53855201951138,0.0951341550411944,91.0341609860494,"1. Good - <7%","1. Good","2. Fair","2. Fair - 2.5-14%","2. Fair - 1-10%","3. Poor - <10%","1. Good - >5%","1. Good - <1.5 ","2. Fair - 91-97%",0.506668765743073,"1. Good - >0.5",1,"2. Fair - 1",11.0044802290654,11.0044802290654,0,NA,0.841793651226908,1648.99524660108,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"5","17043846507",1.44674132611559,12.0636152055857,5.48227987450844,1.76847737887369,8.22294594322598,3.82140281825474,1.39449544146568,92.5933945297588,"1. Good - <7%","1. Good","2. Fair","2. Fair - 2.5-14%","2. Fair - 1-10%","3. Poor - <10%","2. Fair - 1-5% ","1. Good - <1.5 ","2. Fair - 91-97%",0.399102182539683,"2. Fair - 0.25-0.5",1,"2. Fair - 1",5902.66619795526,5902.66619795526,0,NA,0.745457679731771,986.426784459403,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"6","17043846207",1.18785609204146,2.82616423746889,2.59763019012741,0.837945222621746,18.8072149966214,4.72338733018545,4.8482049482752,96.7378459379302,"1. Good - <7%","1. Good","1. Good","2. Fair - 2.5-14%","1. Good - <1%","2. Fair - 10-25%","2. Fair - 1-5% ","2. Fair - 1.5-6.5","2. Fair - 91-97%",0.412610256410256,"2. Fair - 0.25-0.5",0,"3. Poor - 0",0,0,0,NA,2.18695913837291,1065.49951663517,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"7","17043841606",1.3435172083044,5.71955719557196,3.28052401937496,1.05823355463708,11.9352814565466,1.77554965167485,5.73770883974225,97.8052506076907,"1. Good - <7%","1. Good","1. Good","2. Fair - 2.5-14%","2. Fair - 1-10%","2. Fair - 10-25%","2. Fair - 1-5% ","2. Fair - 1.5-6.5","1. Good - >97%",0.935134821013482,"1. Good - >0.5",0,"3. Poor - 0",7627.11349229436,7627.11349229436,0,NA,2.74410561681725,1485.93065865527,"2. Fair - 5-20","2. Fair - 2-10","1. Good - 0%",NA,"1. Good >2%","2. Fair - 650-1800"
"8","17043842601",0.942154364141705,2.36104279390064,2.44275230869438,0.787984615707865,21.4862610665065,4.49779922267109,2.8256055666269,94.3107266799523,"1. Good - <7%","1. Good","1. Good","1. Good - <2.5%","1. Good - <1%","2. Fair - 10-25%","2. Fair - 1-5% ","2. Fair - 1.5-6.5","2. Fair - 91-97%",0.52127632005183,"1. Good - >0.5",0,"3. Poor - 0",0,0,0,NA,1.95114350155927,1237.84622009114,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"2. Fair - 0.5-2%","2. Fair - 650-1800"
"9","17197880312",1.14370333499288,3.84275618374558,2.75825990306761,0.889761259054068,13.618188110224,1.68948994422473,2.6288845045036,94.0746614054043,"1. Good - <7%","1. Good","1. Good","2. Fair - 2.5-14%","1. Good - <1%","2. Fair - 10-25%","2. Fair - 1-5% ","2. Fair - 1.5-6.5","2. Fair - 91-97%",0.167772713732499,"3. Poor - <0.25",0,"3. Poor - 0",0,0,0,NA,0.0246060371864587,1098.687568431,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"3. Poor - <0.5%","2. Fair - 650-1800"
"10","17043846523",0.864465920244211,5.13573000733676,2.81144020567606,0.906916195379375,11.5834791392693,5.10730388041837,2.08687375108143,93.4242485012977,"1. Good - <7%","1. Good","1. Good","2. Fair - 2.5-14%","1. Good - <1%","2. Fair - 10-25%","1. Good - >5%","2. Fair - 1.5-6.5","2. Fair - 91-97%",0.289316792520676,"2. Fair - 0.25-0.5",1,"2. Fair - 1",0,0,0,NA,2.43789815227501,610.902736602721,"1. Good - <5","1. Good - <2","1. Good - 0%",NA,"1. Good >2%","3. Poor - <650"
